conversation id,Date,Status,Escalated,Escalated_2,Escalation Reason,Abandoned,Abandoned_during_VA,Abandonment by customer - flag,Abandonment_Last_Completed_Stage,Authentication by VA success flag,Authentication by VA failure reason,AHT,AHT_Bucket,MPU_AHT,Verification_AHT,Intent_Identified_1,Intent_Identified_2,Intent_Identified_3,Intent_Identified_4,Intent_Identified_5,Intent_Identified_N,Intent_Identified_1stattempt_1,Intent_Identified_1stattempt_2,Intent_Identified_1stattempt_3,Intent_Identified_1stattempt_4,Intent_Identified_1stattempt_5,Intent_Identified_1stattempt_N,MPU_Intent_Identified_Flag,MPU_Intent_Identified_1stattempt_Flag,Here_for_MPU_Flag,Out of scope intent,MPU_Eligible_flag,MPU_Case_Closure,Number of Prompts from AI,Number of Successful Prompts from AI,Missed_Utterance,Missed_Utterance_Auth,Missed_Utterance_IntentIdentification,Missed_Utterance_MPU,AI_Prompts_Auth,AI_Prompts_IntentIdentification,AI_Prompts_MPU,Handled by Agentic AI flag,Retry of authentication flag,Retry of MPU flag,Auth_Retry_Prompt,MPU_Retry_Prompt,Half_hourly_interval,Caller_Type
7195e8f9-f7de-4777-8c68-caea0e6de16e,2025-09-18 22:17:56.549119 UTC,0,,0,0,,0,,0,,,8,5-30 sec,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3e8ad038-8717-4da7-a2a3-15e32bd5c418,2025-09-18 22:21:03.515208 UTC,0,,0,0,,0,,0,,,8,5-30 sec,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21073344-2bf2-4366-82b8-9f8d672062cf,2025-09-18 22:21:37.772809 UTC,0,,0,0,,0,,0,,,49,30-60 sec,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d5df4430-36b4-4349-9420-cf0addc98cba,2025-09-18 22:27:30.503861 UTC,0,,0,0,,0,,0,,,81,60-120 sec,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89718238-5723-49dc-a881-c47f248fbb63,2025-09-18 22:31:05.224346 UTC,0,,0,0,,0,,0,,,69,60-120 sec,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
08266c98-f0bb-4d4c-bd77-b92bacc5df5a,2025-09-18 22:36:46.981982 UTC,0,,0,0,,0,,0,,,106,60-120 sec,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66681c5b-e83b-464b-b9b5-4fc85090e3d4,2025-09-18 22:39:51.867248 UTC,0,,0,0,,0,,0,,,11,5-30 sec,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21b0438e-96e4-4847-a579-2c1c0e7387ff,2025-09-18 22:40:54.824280 UTC,0,,0,0,,0,,0,,,76,60-120 sec,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ff31506c-772d-413d-94f9-0e3a2ee3a785,2025-09-18 22:43:43.100856 UTC,0,,0,0,,0,,0,,,72,60-120 sec,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6249656e-f620-4a4c-9541-e4b52907c7e8,2025-09-18 22:48:47.910215 UTC,0,,0,0,,0,,0,,,70,60-120 sec,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4fdb2dfe-4e29-40ac-8e5e-00b7b813a030,2025-09-18 22:50:35.452908 UTC,0,false,0,0,,0,,0,,,67,60-120 sec,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,0,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
820448c7-e918-417f-aed0-58be0e160d04,2025-09-18 22:52:07.558267 UTC,0,false,0,0,,0,,0,,,43138,>120 sec,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,0,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a41ac53d-7bd4-46fe-abed-ad39fdb4a507,2025-09-19 09:39:46.959668 UTC,0,,0,0,,0,,0,,,20,5-30 sec,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c7ec0b26-8d9e-4830-ba14-5314883bce49,2025-09-19 10:00:54.914284 UTC,0,,0,0,,0,,0,,,92,60-120 sec,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b4cc8461-10dc-48ac-a26f-b5206c84feba,2025-09-19 10:08:34.074295 UTC,0,,0,0,,0,,0,,,7,5-30 sec,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
065O6h4nANzRFWPQexX2U_4HA,2025-09-19 10:26:27.968195 UTC,0,,0,0,,0,,0,,,224,>120 sec,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a7b6b691-0f75-41a3-9442-57a8493ca620,2025-09-19 10:51:15.713533 UTC,0,,0,0,,0,,0,,,269,>120 sec,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13a90508-37b7-455c-8b86-080416365e2f,2025-09-19 10:55:56.689915 UTC,0,,0,0,,0,,0,,,27,5-30 sec,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14faa47d-bb56-4e30-95d6-512b5ef7adb1,2025-09-19 10:56:39.554144 UTC,0,,0,0,,0,,0,,,106,60-120 sec,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b0ace4a4-6f80-4377-80b5-70108443c4b1,2025-09-19 11:07:22.152251 UTC,0,,0,0,,0,,0,,,115,60-120 sec,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119xDDpE0-PTj2safhj7f3H4w,2025-09-19 11:10:05.800135 UTC,0,,0,0,,0,,0,,,88,60-120 sec,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
081iqfioOqNR6GUVIpdAEx57Q,2025-09-19 11:14:57.641959 UTC,0,,0,0,,0,,0,,,64,60-120 sec,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1519d4bb-9b51-40b2-a91a-1bd7acd4123c,2025-09-19 11:20:57.038813 UTC,0,,0,0,,0,,0,,,4,0-5 sec,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0818ASbEiSYSleUkKeWFrrIHQ,2025-09-19 11:36:45.728791 UTC,0,,0,0,,0,,0,,,78,60-120 sec,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119QpxEiNsDQUmngLJNlpFbHw,2025-09-19 11:41:35.388539 UTC,0,,0,0,,0,,0,,,73,60-120 sec,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119Yz35RKDxTFaPQm2lhlOsZw,2025-09-19 11:47:09.730159 UTC,0,,0,0,,0,,0,,,104,60-120 sec,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a5a95e76-c56a-44c1-b2fa-9a6b4950cb7f,2025-09-19 11:49:50.915352 UTC,0,,0,0,,0,,0,,,34,30-60 sec,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
065RY4JlZE7Q4-h0MLVyyrudA,2025-09-19 11:53:14.874331 UTC,0,,0,0,,0,,0,,,100,60-120 sec,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103uEzZhAIpTFipnVZGuGwxxg,2025-09-19 12:00:04.689040 UTC,0,,0,0,,0,,0,,,59,30-60 sec,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1196SdPILQrSMqC7l10mFfpGw,2025-09-19 12:08:08.519602 UTC,0,,0,0,,0,,0,,,77,60-120 sec,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1191KrUqODgSCW8xjiDWJsZNw,2025-09-19 12:11:47.820433 UTC,0,,0,0,,0,,0,,,134,>120 sec,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
